Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,
ELELT201,ELIMENTA-5 TAB 10'TAB,PCS,3,0,0,0,0,4.0500,12.15,86.25,4.50,5.06,ELIKEM,,,
ELEL5T04,ELION 50 TAB 10'S,PCS,0,0,0,0,0,2.8000,0.00,8.58,2.80,3.50,ELIKEM,,,
ELEL5T05,ELION 50 TAB 20X10,PCS,0,0,0,0,0,56.0000,0.00,171.56,56.00,70.00,ELIKEM,,,
ZZZZZ11751,ELIPRED-4 TAB 10'TAB,PCS,0,0,0,0,0,8.0000,0.00,58.00,8.00,9.75,LAKEM LAB,,ELIPLAKEM,
ELEL3T01,ELITH 300 TAB 10 TAB,PCS,1,0,0,0,0,12.0000,12.00,26.14,12.00,15.00,ELIKEM,,ELIEL,
ZZZZZ11740,ELIVOF-250MG TAB (LEVOFLOXACIN 110'TAB,PCS,0,0,0,0,0,15.5000,0.00,53.31,15.50,18.60,LAKEM LAB,,LEVOLAKEM,
ZZZZZ11741,ELIVOF-500MG TAB(LEVOFLOXACIN) 10'TAB,PCS,0,0,0,0,0,24.0000,0.00,102.40,24.00,31.70,LAKEM LAB,,,
ELELT101,ELJOINT TABS 10's,PCS,390,0,0,19,1,28.2150,"11,003.85",184.69,33.00,33.00,ELDER,,,
ELELS601,ELMINIC SYP 60 ML,PCS,0,0,0,0,0,8.5500,0.00,67.50,9.50,13.50,ELDER,,IP103644,
421112563,ELMOGIN DT-50 TAB 10'S,PCS,0,0,0,0,0,7.0000,0.00,59.06,7.00,8.75,ELIKEM,,ELMEL,
ELELT501,ELSODENT TOOTHOASTE (50GM) 50 GM,PCS,0,0,0,0,0,18.0000,0.00,98.00,20.00,20.00,ELDER,,,
ELELT102,ELSODENT TOOTHOASTE 100GM 100 GM,PCS,961,0,0,0,0,23.4000,"22,487.40",276.56,26.00,35.00,ELDER,,,
ELEL2T01,ELVAS 2.5 TAB 10's,PCS,550,0,0,0,0,3.2000,"1,760.00",21.56,3.20,3.40,ELDER,,IP105683,
ELEL5T03,ELVAS 5 TAB 10's,PCS,0,0,0,5,1,3.3004,0.00,63.28,4.40,4.40,ELDER,,IP105686,
EMEMLD01,EMCURE LOYALTY DISCOUNT,PCS,-12,0,0,0,0,0.0000,0.00,0.94,0.00,1.00,EMCURE,,,
EMEMOP01,EMCURE ORS POWD.ORANGE PCS,PCS,0,0,0,0,0,4.5000,0.00,21.63,4.50,4.75,EMCURE,,,
INEM1T01,EMENORM 10 TAB 10's,PCS,-566,0,0,0,0,3.5000,"-1,981.00",12.89,3.50,3.50,INTAS,,IP108876,
INEMI101,EMENORM INJ. 10ML 10 ML,PCS,27,0,0,0,0,9.2500,249.75,17.31,9.25,9.40,INTAS,,IP108882,
INEMI201,EMENORM INJ. 2ML AMP. 2ml,PCS,0,0,0,0,0,3.3000,0.00,5.68,3.30,3.30,INTAS,,IP108882,
INEMM201,EMETIL MD 21 TAB 21's,PCS,-75,0,0,0,0,8.9000,-667.50,42.33,8.90,8.90,INTAS,,IP110913,
MAEMI101,EMITIL ING (BL) 1 ML,PCS,275,0,0,0,0,3.0495,838.61,23.44,3.21,4.00,MARTIN,,IP110911,
EMEM1G01,EMNU 1 GM INJ VIAL,PCS,0,0,0,9,1,126.0000,0.00,"1,000.31",140.00,119.00,EMCURE,,,
ELEM1T01,EMPAGLYX 10/5 TABS 10'S,PCS,8900,0,0,9,1,17.4150,"154,993.50",738.75,21.50,21.50,ELDER,,,
ELEM2T01,EMPAGLYX 25/5 TABS 10'S,PCS,4320,0,0,9,1,29.1600,"125,971.20",807.19,36.00,36.00,ELDER,,,
ELEM1T02,EMPASURE 10MG TABS 10'S,PCS,4290,0,0,9,1,13.3650,"57,335.85",550.31,16.50,16.50,ELDER,,IP105669,
ELEM2T02,EMPASURE 25MG TABS 10'S,PCS,1500,0,0,9,1,28.3500,"42,525.00",197.81,35.00,35.00,ELDER,,,
SAEM1I01,EMPIMER 1GM (MEROPENEM) INJ 1 VIAL,PCS,0,0,0,0,0,86.3600,0.00,"1,000.31",86.36,98.00,SAMARTH,,IP108579,
SAEM5I01,EMPIMER 500Mg (MEROPENEM) INJ VIAL,PCS,0,0,0,0,0,68.1800,0.00,759.12,68.18,85.00,SAMARTH,,IP108590,
EMEMT101,EMSULIDE-P TABLET 10's,PCS,0,0,0,0,0,7.3332,0.00,129.40,8.40,8.40,EMCURE,,,
INEM2I01,EMSYL 2ML INJ 2ml,PCS,450,0,0,0,0,2.2500,"1,012.50",34.92,2.25,3.75,INTAS,,IP105846,
INEM1T02,EMSYL-500 10 TAB 10's,PCS,642,0,0,0,0,12.6500,"8,121.30",132.66,12.65,12.65,INTAS,,IP105851,
JAEN2M01,ENARIL 2.5 MG 10X10,PCS,0,0,0,0,0,35.0000,0.00,0.00,35.00,45.00,JACKSON,,,
ROENTC01,ENDOTRACHEAL TUBE CUFFED 3.0mm 3.0mm,PCS,0,0,0,0,0,55.5350,0.00,403.13,55.87,64.00,ROMSONS,,,
ROENTC02,ENDOTRACHEAL TUBE CUFFED 3.5mm 3.5mm,PCS,0,0,0,0,0,55.5350,0.00,403.13,55.87,64.00,ROMSONS,,,
ROENTC03,ENDOTRACHEAL TUBE CUFFED 4.0mm 4.0mm,PCS,0,0,0,0,0,55.5350,0.00,403.13,55.87,64.00,ROMSONS,,,
ROENTC04,ENDOTRACHEAL TUBE CUFFED 4.5mm 4.5mm,PCS,10,0,0,0,0,55.5350,555.35,403.13,55.87,64.00,ROMSONS,,,
ROENTC05,ENDOTRACHEAL TUBE CUFFED 5.0mm 5.0mm,PCS,10,0,0,0,0,55.5350,555.35,403.13,55.87,64.00,ROMSONS,,,
ROENTC06,ENDOTRACHEAL TUBE CUFFED 5.5mm 5.5mm,PCS,7,0,0,0,0,55.5350,388.75,403.13,55.87,64.00,ROMSONS,,,
ROENTC07,ENDOTRACHEAL TUBE CUFFED 6.0mm 6.0mm,PCS,30,0,0,0,0,55.5350,"1,666.05",403.13,55.87,64.00,ROMSONS,,GS-2004,
ROENTC08,ENDOTRACHEAL TUBE CUFFED 6.5mm 6.5mm,PCS,40,0,0,0,0,55.5350,"2,221.40",403.13,55.87,64.00,ROMSONS,,GS-2004,
ROENTC09,ENDOTRACHEAL TUBE CUFFED 7.0mm 7.0mm,PCS,40,0,0,0,0,55.5348,"2,221.39",403.13,55.87,64.00,ROMSONS,,GS-2004,
ROENTC10,ENDOTRACHEAL TUBE CUFFED 7.5mm 7.5mm,PCS,40,0,0,0,0,55.5348,"2,221.39",403.13,55.87,64.00,ROMSONS,,GS-2004,
ROENTC11,ENDOTRACHEAL TUBE CUFFED 8.0mm 8.0mm,PCS,80,0,0,0,0,55.5348,"4,442.78",403.13,55.87,64.00,ROMSONS,,,
ROENTC12,ENDOTRACHEAL TUBE CUFFED 8.5mm 8.5mm,PCS,20,0,0,0,0,55.5350,"1,110.70",403.13,55.87,64.00,ROMSONS,,,
ROENTP01,ENDOTRACHEAL TUBE PLAIN 2.0mm 2.0mm,PCS,30,0,0,0,0,32.3945,971.84,262.50,32.59,37.00,ROMSONS,,,
ROENTP02,ENDOTRACHEAL TUBE PLAIN 2.5mm 2.5mm,PCS,10,0,0,0,0,32.3940,323.94,262.50,32.59,37.00,ROMSONS,,GS-2002,
ROENTP03,ENDOTRACHEAL TUBE PLAIN 3.0mm 3.0mm,PCS,20,0,0,0,0,32.3940,647.88,262.50,32.59,37.00,ROMSONS,,GS-2002,
ROENTP04,ENDOTRACHEAL TUBE PLAIN 3.5mm 3.5mm,PCS,30,0,0,0,0,32.3945,971.84,262.50,32.59,37.00,ROMSONS,,,
ROENTP05,ENDOTRACHEAL TUBE PLAIN 4.0mm 4.0mm,PCS,20,0,0,0,0,32.3940,647.88,287.81,32.59,37.00,ROMSONS,,GS-2002,
ROENTP06,ENDOTRACHEAL TUBE PLAIN 4.5mm 4.5mm,PCS,10,0,0,0,0,32.3940,323.94,262.50,32.59,37.00,ROMSONS,,GS-2002,
ROENTP07,ENDOTRACHEAL TUBE PLAIN 5.0mm 5.0mm,PCS,20,0,0,0,0,32.3945,647.89,262.50,32.59,37.00,ROMSONS,,,
BHENSP01,ENEMA SODIUM PHOSHATE 100 ML PCS,PCS,1450,0,0,0,0,9.0000,"13,050.00",70.31,9.00,13.00,BHANDARI,,,
HHENSP01,ENEMA SODIUM PHOSPHATE BP 100 ML,PCS,-150,0,0,0,0,9.0000,"-1,350.00",70.31,9.00,12.00,HARSH HEALTH CARE,,,
PREN6101,ENEXA 60MG/0.6ML 1 ML,PCS,1383,0,0,0,0,47.0000,"65,001.00",752.44,50.00,65.00,PROTECH,,,
DEENC101,ENMORE - CAP 10 TAB,PCS,0,0,0,0,0,12.0000,0.00,110.00,12.00,15.94,DELLWICH,,,
KEEN4I01,ENOXAEASE 40 INJ PFS,PCS,660,0,0,0,0,89.6100,"59,142.60",470.35,89.61,89.61,KEMSYN,,,
KEEN6I01,ENOXAEASE 60 INJ PFS,PCS,-30,0,0,0,0,104.1000,"-3,123.00",705.53,104.10,104.10,KEMSYN,,,
DOEN4I01,ENOXAPARIN 40 INJ (DEFTAPARIN 1 PFS,PCS,-20,0,0,0,0,74.0000,"-1,480.00",459.00,74.00,86.00,DEFT ORGANICS,,,
DOEN6I01,ENOXAPARIN 60 INJ (DEFTAPARIN) 1 PFS,PCS,115,0,0,0,0,90.0000,"10,350.00",679.00,90.00,105.00,DEFT ORGANICS,,,
PREN4P01,ENOXATECH 40 (ENOXAPARIN) PFS,PCS,6073,0,0,0,0,54.5200,"331,099.96",470.35,58.00,65.00,PROTECH,,IP105702,
PREN6P01,ENOXATECH 60 (ENOXAPARIN) PFS,PCS,202,0,0,0,0,75.2000,"15,190.40",705.53,80.00,90.00,PROTECH,,IP105704,
CUEN5M01,ENTEROFILL 5 ML,PCS,198,0,0,0,0,11.3160,"2,240.57",54.37,12.30,12.30,CURETECH,,,
ALENB101,ENTISEP BURN (15G) 15 g,PCS,89,0,0,0,0,12.8800,"1,146.32",82.50,14.00,14.50,ALKEM(HC),,IP103428,
ELENR501,ENTROBAC RESPOULES 5 ML,PCS,9470,0,0,180,24,9.1324,"86,483.83",67.50,11.50,11.00,ELDER,,IP101608,
CAENI101,ENVAS INJ 1.25 MG AMP,PCS,0,0,0,0,0,163.0500,0.00,261.56,163.05,188.00,CADILA(VOLTA),,IP105690,
AKEP4T01,EPASOUR 40 TAB (AL) 10's,PCS,1740,0,0,0,0,7.0000,"12,180.00",88.48,7.00,10.00,AKUMENTIS,,,
AKEPDC01,EPASOUR DSR CAPS (ST) 10'S,PCS,530,0,0,0,0,14.0000,"7,420.00",196.25,14.00,16.90,AKUMENTIS,,,
AKEPI101,EPASOUR INJ. 1 VIAL,PCS,0,0,0,0,0,14.4000,0.00,345.98,14.40,15.50,AKUMENTIS,,,
MEEP5T01,EPERIMEG 50 TAB 20x10,PCS,0,0,0,0,0,170.0000,0.00,"2,268.75",170.00,225.00,MEGMA,,EPERMMEGMA,
ABFLOS05,EPI KIT NG 16 PCS,PCS,10,0,0,0,0,396.5400,"3,965.40","2,278.13",396.54,455.00,ROMSONS,,,
ABFLOS21,EPI KIT NG 18 PCS,PCS,10,0,0,0,0,396.5400,"3,965.40","2,278.13",396.54,455.00,ROMSONS,,,
ELEP1T01,EPICETAM 1000 TABS 10'S,PCS,990,0,0,0,0,40.5000,"40,095.00",464.06,45.00,50.00,ELDER,,IP107788,
ELEP5T01,EPICETAM 500MG TAB 10's,PCS,-460,0,0,0,0,25.5000,"-11,730.00",136.22,25.50,30.00,ELDER,,IP107794,
ELEP7T01,EPICETAM 750 TABS 10'S,PCS,1000,0,0,0,0,32.4000,"32,400.00",203.06,36.00,40.00,ELDER,,IP107796,
DEEP1T01,EPIMAZ-CR-200 * 10 TAB,PCS,4,0,0,0,0,18.5000,74.00,25.03,18.50,24.42,DELLWICH,,IP102514,
DEEP1T02,EPIMAZ-CR-400 * 10 TAB,PCS,0,0,0,0,0,32.4000,0.00,48.93,32.40,43.56,DELLWICH,,IP102517,
AKEPI102,EPIMYCIN INJ 1 ml,PCS,600,0,0,0,0,5.5000,"3,300.00",28.82,5.50,6.00,AKUMENTIS,,,
ZEEPMI01,EPIZEE-50 MG ING 50 MG,PCS,0,0,0,0,0,430.0000,0.00,"2,000.00",430.00,550.00,ZEE,,IP105738,
ELEP2T01,EPLERENON 25 TABS 10'S,PCS,70,0,0,9,1,76.9500,"5,386.50",617.81,95.00,95.00,ELDER,,,
KEEP5D01,EPODOX 50 DRY SYRUP 30ml,PCS,205,0,0,0,0,22.1900,"4,548.95",102.19,22.19,22.19,KEMSYN,,IP103004,
KEEPDT01,EPODOX-200 DT TABLET 10's,PCS,270,0,0,0,0,40.5100,"10,937.70",270.00,40.51,40.51,KEMSYN,,IP102972,
CASTPS08,EPODOX-CV SUSPENSION 30ML,PCS,26,0,0,0,0,26.9200,699.92,176.25,26.92,26.92,KEMSYN,,,
KEEPT101,EPODOX-CV TABLET 10's,PCS,170,0,0,0,0,91.8000,"15,606.00",365.63,91.80,91.80,KEMSYN,,IP102975,
ELEPET01,EPROX ER-250 TAB 10'S,PCS,600,0,0,0,0,13.0000,"7,800.00",82.50,13.00,16.25,ELIKEM,,,
DEEP1T03,EPSOTOIN * 100 TAB,PCS,1,0,0,0,0,45.0000,45.00,184.80,45.00,59.40,DELLWICH,,IP110559,
DEEP3T01,EPSOTOIN 300 TAB 10 TAB,PCS,-49,0,0,0,0,11.5000,-563.50,57.53,11.50,15.18,DELLWICH,,IP110565,
ELEP1T02,EPTOVAC 100 TAB 100'S,PCS,0,0,0,0,0,43.2000,0.00,170.63,48.00,48.00,ELDER,,IP110559,
DAERT501,ERYTHMYCIN TAB 500 20X10,PCS,0,0,0,0,0,665.0000,0.00,0.00,665.00,800.00,DANISH,,,
ELES1T01,ESCIT 10 TABS 10'S,PCS,100,0,0,9,1,17.0100,"1,701.00",127.03,21.00,21.00,ELDER,,IP105789,
ELES1T02,ESCTIALOPRAM 10MG TAB 1,PCS,0,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,ELIKEM,,ESCEL,
EMCU0099,ESGIPYRIN SP TAB 10'S,PCS,-540,0,0,0,0,14.8500,"-8,019.00",177.69,16.50,16.50,ABBOTT,,,
ABEST101,ESGIPYRIN-A TAB 15'S,PCS,-80,0,0,0,0,8.7500,-700.00,84.02,12.50,12.50,ABBOTT,,IP100063,
DEEST101,ESICARE-10 TAB 10 TAB,PCS,740,0,0,0,0,8.3000,"6,142.00",96.09,8.30,10.96,DELLWICH,,IP105789,
DEEST201,ESICARE-10 TAB 20X10,PCS,-39.5,0,0,0,0,166.0000,"-6,557.00",94.50,166.00,216.00,DELLWICH,,IP105789,
DEES1T01,ESICARE-20 * 10 TAB,PCS,20,0,0,0,0,14.2000,284.00,140.63,14.20,18.74,DELLWICH,,IP105793,
DEES1T02,ESICARE-5 * 10 TAB,PCS,-918,0,0,0,0,5.0000,"-4,590.00",53.63,5.00,6.60,DELLWICH,,IP105796,
DEEST102,ESICARE-EZ TAB* 10 TAB,PCS,0,0,0,0,0,15.0000,0.00,131.25,15.00,19.80,DELLWICH,,IP105893,
DEES1T03,ESICARE-LS* 10 TAB,PCS,-120,0,0,0,0,11.0000,"-1,320.00",103.13,11.00,14.52,DELLWICH,,IP104210,
DEES1T04,ESICARE-PLUS* 10 TAB,PCS,-1900,0,0,0,0,10.9000,"-20,710.00",126.56,10.90,14.39,DELLWICH,,IP104211,
DEES1T05,ESICARE-PLUS-H* 10 TAB,PCS,-1218,0,0,0,0,7.0000,"-8,526.00",60.00,7.00,9.24,DELLWICH,,IP104211,
ELES4I01,ESMODER 40 INJ VIAL,PCS,4600,0,0,0,0,11.5200,"52,992.00",346.50,12.80,14.00,ELDER,,IP105807,
ELES4T02,ESMODER 40 TABS 15's,PCS,5010,0,0,9,1,12.9600,"64,929.60",178.12,16.00,16.00,ELDER,,IP105807,
ELESDC01,ESMODER DSR CAP 10's,PCS,3909,0,0,9,1,14.1750,"55,410.08",220.31,17.50,17.50,ELDER,,IP105404,
ELESLC01,ESMODER L CAPS (40/75) 10'S,PCS,280,0,0,0,0,29.4750,"8,253.00",323.44,32.75,32.75,ELDER,,IP108056,
SAES1I01,ESOCARD 100MG INJ (ESMOLOL) 10 ML,PCS,0,0,0,0,0,136.3600,0.00,276.98,136.36,165.00,SAMARTH,,IP105803,
MEESFT01,ESOMEG FAST -40 TAB 10,PCS,50,0,0,0,0,15.0000,750.00,140.63,15.00,17.25,MEGMA,,,
THESCM01,ESOMIOL-DSR CAP (WITH MONO) 10's,PCS,670,0,0,0,0,12.4000,"8,308.00",201.09,12.40,14.70,THEOGEN,,IP105404,
THESC101,ESOMIOL-LSR CAP 10'S,PCS,2920,0,0,0,0,19.2500,"56,210.00",200.06,19.25,23.00,THEOGEN,,IP108056,
EMCU0096,ESOMROZ-20 TAB 10'S,PCS,0,0,0,0,0,5.2000,0.00,63.75,5.20,6.20,ROUSSEL,,,
PRES4V01,ESOMTECH 40 (ESOMEPRAZOLE) Vial,PCS,3379,0,0,0,0,12.2200,"41,291.38",304.69,13.00,14.50,PROTECH,,IP105807,
DMEST101,ESOPEN-40 TAB (10X10AA) 10'S,PCS,0,0,0,0,0,8.7000,0.00,140.63,8.70,10.50,DR MOREPEN,,,
CUESDC01,ESOROM DSR 10'S,PCS,230,0,0,0,0,20.7920,"4,782.16",119.06,22.60,22.60,CURETECH,,,
KEESDC01,ESOSHIELD DSR CAPSULE 10's,PCS,316,0,0,0,0,15.2300,"4,812.68",164.06,15.23,15.23,KEMSYN,,IP105404,
KEESC101,ESOSHIELD-LS CAPSULE 10's,PCS,80,0,0,0,0,24.0100,"1,920.80",304.69,24.01,24.01,KEMSYN,,IP108056,
CAESRC01,ESOTRAX RD CAP 10's,PCS,4440,0,0,0,0,16.8100,"74,636.40",124.69,16.81,20.50,CADILA,,IP105404,
MYEST102,ESPAZOL-40 TABS 10 S 10'S,PCS,0,0,0,0,0,7.3000,0.00,131.25,7.30,8.40,MYLAN,,IP105807,
MYESC101,ESPAZOL-D CAP 10'S 10's,PCS,0,0,0,0,0,13.0000,0.00,206.25,13.00,14.40,MYLAN,,IP105404,
ELET1T01,ETAREX  10 TABS 15's,PCS,-120,0,0,0,0,5.1975,-623.70,42.19,0.00,6.00,ELDER,,IP107136,
ELET2T01,ETAREX 25 TABS 15's,PCS,5646,0,0,9,1,6.4800,"36,586.08",127.13,8.00,8.00,ELDER,,IP107138,
JAETI401,ETHAMBUTOL IP 400MG 10'S,PCS,0,0,0,0,0,26.0000,0.00,0.00,26.00,31.50,JACKSON,,IP105841,
ELET2T02,ETHAMCEL 250 TABS 10's,PCS,380,0,0,0,0,6.8400,"2,599.20",67.50,0.00,8.00,ELDER,,IP105847,
ALETA201,ETHAMKEM (2ML AMPOULE) 2ml,PCS,1321,0,0,0,0,3.4500,"4,557.45",38.40,3.75,3.75,ALKEM(HC),,IP105847,
ALETTT01,ETHAMKEM T TABLETS (10'S) 10's,PCS,0,0,0,0,0,34.7300,0.00,293.40,37.75,37.75,ALKEM(HC),,IP112671,
ALETT101,ETHAMKEM TABLETS (10'S) 10's,PCS,40,0,0,0,0,14.7200,588.80,186.55,16.00,16.00,ALKEM(HC),,IP105851,
RAETS501,ETHER SOLVENT 500 ML,PCS,103,0,0,0,0,125.0000,"12,875.00",340.00,125.00,170.00,RACHANA,,,
INETSI01,ETHER SOLVENT I.P. 500 ML,PCS,1,0,0,0,0,125.0000,125.00,260.00,125.00,160.00,INDUSTRIAL,,,
421112564,ETIKEM 0.5 TAB 10 TAB,PCS,0,0,0,0,0,6.5000,0.00,63.75,6.50,8.13,ELIKEM,,ETIEL,
A00010,ETO MB 100 MG INJ 1 VIAL,PCS,0,0,0,0,0,84.0000,0.00,183.75,84.00,95.00,ZEE,,ETOME,
ELET9T01,ETOGESIC 90MG TABS 10's,PCS,530,0,0,9,1,14.5800,"7,727.40",126.56,18.00,18.00,ELDER,,IP105965,
NUNU5P13,ETOMAK INJ (ETOMIDATE 20 MG) 10 ML,PCS,0,0,0,0,0,90.0000,0.00,780.94,90.00,120.00,MAK,,ETOMA,
JAETT301,ETOP.+TEHOP TAB 300MG 10X10,PCS,0,0,0,0,0,85.0000,0.00,0.00,85.00,105.00,JACKSON,,,
ELETPT01,ETORGESIC P TABS (15'S) 15's,PCS,0,0,0,0,0,23.5228,0.00,126.56,0.00,28.75,ELDER,,IP105958,
ELETT101,ETORGESIC-TH4 TABS 10's,PCS,22,0,0,20,1,38.5714,848.57,276.56,45.00,45.00,ELDER,,IP105962,
THET9T01,ETORION 90 TAB 10's,PCS,910,0,0,0,0,14.1500,"12,876.50",87.66,14.15,20.00,THEOGEN,,IP105965,
THETT101,ETORION-120 TABLET 10's,PCS,0,0,0,0,0,18.4000,0.00,109.69,18.40,25.00,THEOGEN,,IP105955,
THETT102,ETORION-P 10'S,PCS,2320,0,0,0,0,15.1500,"35,148.00",112.50,15.15,20.00,THEOGEN,,IP105958,
THETT103,ETORION-TH TABLET 10's,PCS,1230,0,0,0,0,33.0000,"40,590.00",293.91,33.00,45.00,THEOGEN,,IP105962,
GLETT101,ETORIS-120 Tablets 10'S,PCS,0,0,0,0,0,21.0000,0.00,220.31,21.00,21.00,GLENMARK,,IP105955,
GLETT102,ETORIS-60 Tablets 10'S,PCS,0,0,0,0,0,14.1000,0.00,164.06,15.00,15.00,GLENMARK,,IP105957,
GLETT103,ETORIS-90 Tablets 10'S,PCS,0,0,0,0,0,17.0000,0.00,196.88,17.00,17.00,GLENMARK,,IP105965,
GLETT104,ETORIS-MR Tablets 10'S,PCS,10,0,0,0,0,40.8900,408.90,309.38,43.50,43.50,GLENMARK,,IP105962,
VIEUOI01,EUCALYPTUS OIL I.P 400 ML,PCS,0,0,0,0,0,873.0000,0.00,"2,500.00",900.00,"1,200.00",VIKASH,,,
SAEUH101,EUVIFOL HP 150 MG 150MG,PCS,0,0,0,0,0,300.0000,0.00,"2,378.56",300.00,360.00,SAMARTH,,IP112862,
ZZZZZ11752,EVIC-200 MG TAB 10'TAB,PCS,0,0,0,0,0,10.5000,0.00,17.58,10.50,12.60,LAKEM LAB,,EVICLAKEM,
A00549,EXCELL - WALKER PCS,PCS,2,0,0,0,0,"1,208.7050","2,417.41","3,000.00","1,216.00","1,400.00",ROMSONS,,,
A00550,EXCELL - WALKING STICK L SHAPE PCS,PCS,1,0,0,0,0,460.8200,460.82,900.00,463.60,535.00,ROMSONS,,,
PAEXDE01,EXMITE D E/D+ 5 ML,PCS,220,0,0,0,0,8.0000,"1,760.00",150.00,8.00,0.00,PACE,,,
PAEXPE01,EXMITE P EAR/EYE DROP 5ML,PCS,5,0,0,0,0,10.0000,50.00,138.75,10.00,0.00,PACE,,,
CASTPS51,EXP IV CANNULA NUFIX (20G) PCS,PCS,0,0,0,0,0,4.0500,0.00,275.00,4.05,5.31,NUBENO (EXP),,,
CASTPS52,EXP IV CANNULA NUFIX (22G) PCS,PCS,0,0,0,0,0,4.2000,0.00,275.00,4.20,5.31,NUBENO (EXP),,,
CASTPS54,EXP IV CANNULA NUFIX (24G) PCS,PCS,0,0,0,0,0,4.3000,0.00,0.00,4.30,6.53,NUBENO (EXP),,,
CASTPS53,EXP IV CANNULA NUFIX (26G) PCS,PCS,0,0,0,0,0,5.2500,0.00,0.00,5.25,6.89,NUBENO (EXP),,,
CASTPS55,EXP NUBENO 10ML (22X1.5) PCS,PCS,0,0,0,0,0,2.1800,0.00,0.00,2.18,2.70,NUBENO (EXP),,,
CASTPS56,EXP NUBENO 3 ML (24G) PCS,PCS,0,0,0,0,0,1.1100,0.00,0.00,1.11,1.38,NUBENO (EXP),,,
CASTPS57,EXP NUBENO 5 ML (24G) PCS,PCS,0,0,0,0,0,1.3000,0.00,0.00,1.30,1.66,NUBENO (EXP),,,
NUEXN101,EXP NUSAFE 10 ML (21G) 1 PCS,PCS,0,0,0,0,0,2.1800,0.00,32.81,2.18,2.84,NUBENO,,,
NUEXN201,EXP NUSAFE 2 ML (23G) 1 PCS,PCS,0,0,0,0,0,1.0700,0.00,12.19,1.07,1.33,NUBENO,,,
NUEXN501,EXP NUSAFE 5 ML (23G) 1 PCS,PCS,0,0,0,0,0,1.2700,0.00,21.56,1.27,1.62,NUBENO,,,
ABFLOS06,EXTEENA DUO PCS,PCS,90,0,0,0,0,62.4829,"5,623.46",463.13,62.86,72.00,ROMSONS,,,
ROEXXP01,EXXACTA PCS,PCS,2800,0,0,0,0,6.4548,"18,073.44",244.00,6.52,7.50,ROMSONS,,GS-3146,
ELEYRD01,EYE REFRESH DROPS 10 ML,PCS,276,0,0,0,0,8.5500,"2,359.80",126.56,9.50,10.00,ELDER,,IP102548,
ALEYDE01,EYEGENT D EYE DROPS 10 ML,PCS,7952,0,0,0,0,8.6572,"68,842.05",46.85,9.41,9.41,ALKEM(MAX),,,
EMEZ2T01,EZECURE 250 TABLET 6's,PCS,540,0,0,0,0,21.9062,"11,829.35",73.40,25.75,25.90,EMCURE,,,
EMEZ5T01,EZECURE 500 TABLET 3's,PCS,1360,0,0,0,0,21.9055,"29,791.48",74.25,25.75,26.90,EMCURE,,,
EMFAT101,FACER-MR TABLET 10's,PCS,0,0,0,0,0,11.3400,0.00,123.42,12.60,12.60,EMCURE,,,
EMFAT102,FACER-P TABLET 10's,PCS,1420,0,0,0,0,5.8500,"8,307.00",71.66,6.50,6.50,EMCURE,,,
EMFAT103,FACER-SERA TABLETS 10's,PCS,0,0,0,0,0,11.6100,0.00,133.55,12.90,12.90,EMCURE,,,
EMFAT104,FACER-TH-4 TABLETS 10's,PCS,520,0,0,0,0,38.2826,"19,906.95",300.84,45.00,45.00,EMCURE,,,
CAFA4M01,FACILOC 40 MG PFS,PCS,0,0,0,0,0,124.9900,0.00,470.30,124.99,100.00,CADILA(VOLTA),,IP105702,
INFAI501,FALCIART INJ 5ML,PCS,1260,0,0,0,0,26.0000,"32,760.00",256.96,26.00,26.00,INTAS,,IP101340,
INFAI101,FALCIART-120 INJ 1 VIAL,PCS,2593,0,0,0,0,35.3500,"91,662.55",477.15,35.35,35.35,INTAS,,IP101326,
INFAI201,FALCIMETHER INJ 2 ML 2 ML,PCS,1080,0,0,0,0,11.2500,"12,150.00",165.50,11.25,11.40,INTAS,,,
PAFA1M01,FALCIUNATE 120 MG INJ VIAL,PCS,2,0,0,0,0,16.5000,33.00,477.12,16.50,19.00,PARK,,,
PAFA6M01,FALCIUNATE 60 MG INJ Vial,PCS,14553,0,0,0,0,11.5000,"167,359.50",278.86,11.50,14.00,PARK,,,
ATAMT203,FAMGYMEG-250MG 10X6 TAB,PCS,0,0,0,0,0,760.0000,0.00,"4,781.25",760.00,925.00,MEGMA,,,
ELFA2T01,FARONAM 200 TABS 6's,PCS,170,0,0,0,0,154.0000,"26,180.00",815.63,154.00,180.00,ELDER,,IP106003,
ELFAST01,FARONAM-300 SR TAB 6'S,PCS,-50,0,0,0,0,220.0000,"-11,000.00","1,096.88",220.00,254.00,ELDER,,,
509668,FAROPHARM 200 TAB 10 TAB,PCS,10,0,0,0,0,202.4700,"2,024.70","1,082.81",202.47,202.47,KEMSYN,,,
ZZZZZ11858,FAROPHARM 300 ER TAB 10'S,PCS,100,0,0,0,0,350.5900,"35,059.00","1,450.00",350.59,350.59,KEMSYN,,,
INFC1M01,FCN 100 ML 100ML,PCS,2641,0,0,0,0,19.5200,"51,552.32",98.63,19.52,21.45,INTAS,,IP106145,
INFC2201,FCN 200 2 TAB (Combo) 2's,PCS,6762,0,0,0,0,11.0600,"74,787.72",37.28,11.06,11.40,INTAS,,IP106145,
